ecommerce_platform_exists,cart_element_found,price_pattern_found,num_currencies_found,ecommerce_keywords_count,anchor_buy_ratio,num_html_tags,text_to_html_ratio,word_count,anchor_count,avg_price_dom_position,url,label,has_kw_cart,has_kw_00,has_kw_shop,has_kw_accessories,has_kw_shopping,has_kw_2025,has_kw_shipping,has_kw_world,has_kw_news,has_kw_ir,has_kw_products,has_kw_eur,has_kw_brands,has_kw_delivery,has_kw_items,has_kw_resources,has_kw_payment,has_kw_ai,has_kw_live,has_kw_community
1,1,0,0,0,0.004,1828,0.017,1885,271,-1.0,https://lumina.dk,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,5,0.031,3710,0.03,6774,491,1715.238,https://www.rijstextiles.com,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1,1,1,0,1,0.0,2335,0.054,3895,265,1717.286,https://www.focenza.com,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
1,1,1,2,4,0.007,13225,0.017,7660,1382,10785.322,https://cookinglife.eu,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
1,1,0,0,0,0.0,2024,0.047,2300,334,1078.905,https://www.zasmobel.com,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,0,2,0.124,1584,0.042,1167,274,691.492,https://www.audores.lt/lt,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
1,1,1,0,5,0.042,8441,0.016,3232,689,4015.428,https://goldendiscs.ie,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0
1,1,1,1,0,0.0,1702,0.028,1225,170,91.167,https://sidonas.lt,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,1,0,2,0.078,3033,0.024,2546,385,1807.056,https://www.mccauley.ie,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0
1,1,1,1,3,0.045,2835,0.022,2118,244,1353.146,https://shiwi.com,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
0,1,1,1,2,0.084,1570,0.059,1882,297,945.824,https://aerialsilks.eu,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0.003,2164,0.048,2065,399,-1.0,https://www.glasoflaskor.se,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,3,0.016,6352,0.017,3847,560,2913.636,https://www.ardkeen.com,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1
1,1,1,1,5,0.219,5515,0.006,2571,352,820.524,https://stevemadden.de,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0.0,421,0.009,177,33,33.667,https://dedicatednutrition.eu,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0.014,476,0.026,613,71,-1.0,https://fixpart.ie/e,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,0,0,0.038,4400,0.075,7758,365,2994.691,https://www.stateofart.com/nl,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
